date,city_code,tmv_city_crores,company,ms_pct
1-Jan-22,400001,286.29,GDS,21.2
1-Jan-22,110001,241.59,GDS,17.68
1-Jan-22,700001,222.19,GDS,16.61
1-Jan-22,560001,195.41,GDS,19.14
1-Jan-22,600001,166.78,GDS,18.47
1-Jan-22,500001,148.68,GDS,19
1-Jan-22,411001,141.3,GDS,17.14
1-Jan-22,380001,110.08,GDS,19.05
1-Jan-22,302001,79.05,GDS,28.1
1-Jan-22,226001,67.6,GDS,17.54
1-Jan-22,800008,55.78,GDS,26.15
1-Jan-22,641001,50.24,GDS,15.57
1-Jan-22,160017,36.57,GDS,17.36
1-Jan-22,122001,27.89,GDS,19.07
1-Jan-22,492001,17.55,GDS,24.35
1-Feb-22,400001,328.6,GDS,18.62
1-Feb-22,110001,277.3,GDS,19.54
1-Feb-22,700001,255.04,GDS,15.48
1-Feb-22,560001,224.3,GDS,20.98
1-Feb-22,600001,191.44,GDS,29.2
1-Feb-22,500001,170.66,GDS,20.2
1-Feb-22,411001,162.18,GDS,17.67
1-Feb-22,380001,126.35,GDS,16.33
1-Feb-22,302001,90.74,GDS,17.27
1-Feb-22,226001,77.59,GDS,31.93
1-Feb-22,800008,64.02,GDS,18.3
1-Feb-22,641001,57.66,GDS,20.71
1-Feb-22,160017,41.98,GDS,15.11
1-Feb-22,122001,32.01,GDS,29.52
1-Feb-22,492001,20.14,GDS,20.99
1-Mar-22,400001,305.81,GDS,18.73
1-Mar-22,110001,258.07,GDS,18.98
1-Mar-22,700001,237.35,GDS,28.36
1-Mar-22,560001,208.74,GDS,20.06
1-Mar-22,600001,178.16,GDS,17.12
1-Mar-22,500001,158.83,GDS,17.6
1-Mar-22,411001,150.93,GDS,20.43
1-Mar-22,380001,117.59,GDS,24.62
1-Mar-22,302001,84.44,GDS,20.25
1-Mar-22,226001,72.21,GDS,20.68
1-Mar-22,800008,59.58,GDS,17.83
1-Mar-22,641001,53.67,GDS,31.89
1-Mar-22,160017,39.07,GDS,19.23
1-Mar-22,122001,29.79,GDS,20.26
1-Mar-22,492001,18.74,GDS,18.48
1-Apr-22,400001,324.26,GDS,20.12
1-Apr-22,110001,273.63,GDS,18.46
1-Apr-22,700001,251.67,GDS,19.41
1-Apr-22,560001,221.33,GDS,19.13
1-Apr-22,600001,188.91,GDS,17.43
1-Apr-22,500001,168.41,GDS,16.6
1-Apr-22,411001,160.04,GDS,28.7
1-Apr-22,380001,124.68,GDS,19.2
1-Apr-22,302001,89.54,GDS,16.87
1-Apr-22,226001,76.57,GDS,17.33
1-Apr-22,800008,63.18,GDS,18.69
1-Apr-22,641001,56.9,GDS,15.45
1-Apr-22,160017,41.42,GDS,25.31
1-Apr-22,122001,31.59,GDS,19.99
1-Apr-22,492001,19.87,GDS,18.74
1-Jun-22,400001,308,GDS,20.16
1-Jun-22,110001,253.61,GDS,16.61
1-Jun-22,700001,235.88,GDS,15.59
1-Jun-22,560001,211.24,GDS,18
1-Jun-22,600001,174.99,GDS,17.46
1-Jun-22,500001,157.64,GDS,17.82
1-Jun-22,411001,152.13,GDS,16.23
1-Jun-22,380001,115.47,GDS,18.05
1-Jun-22,302001,85.72,GDS,26.66
1-Jun-22,226001,73.7,GDS,16.68
1-Jun-22,800008,60.5,GDS,24.91
1-Jun-22,641001,53.6,GDS,14.73
1-Jun-22,160017,39.02,GDS,16.42
1-Jun-22,122001,30.35,GDS,18.13
1-Jun-22,492001,18.92,GDS,23.1
1-Jul-22,400001,348.85,GDS,17.17
1-Jul-22,110001,287.25,GDS,17.86
1-Jul-22,700001,267.16,GDS,14.27
1-Jul-22,560001,239.26,GDS,19.27
1-Jul-22,600001,198.2,GDS,27.18
1-Jul-22,500001,178.56,GDS,18.66
1-Jul-22,411001,172.31,GDS,16.24
1-Jul-22,380001,130.79,GDS,14.86
1-Jul-22,302001,97.09,GDS,15.75
1-Jul-22,226001,83.47,GDS,29.67
1-Jul-22,800008,68.52,GDS,16.75
1-Jul-22,641001,60.71,GDS,19
1-Jul-22,160017,44.19,GDS,13.83
1-Jul-22,122001,34.37,GDS,27.26
1-Jul-22,492001,21.43,GDS,19.48
1-Aug-22,400001,333.45,GDS,17.5
1-Aug-22,110001,274.57,GDS,17.82
1-Aug-22,700001,255.37,GDS,27.02
1-Aug-22,560001,228.7,GDS,19.06
1-Aug-22,600001,189.45,GDS,15.98
1-Aug-22,500001,170.67,GDS,16.61
1-Aug-22,411001,164.7,GDS,19.22
1-Aug-22,380001,125.02,GDS,23.38
1-Aug-22,302001,92.8,GDS,19.08
1-Aug-22,226001,79.79,GDS,19.64
1-Aug-22,800008,65.5,GDS,16.87
1-Aug-22,641001,58.03,GDS,30.5
1-Aug-22,160017,42.24,GDS,18.15
1-Aug-22,122001,32.85,GDS,19.2
1-Aug-22,492001,20.48,GDS,17.54
1-Sep-22,400001,349.97,GDS,18.52
1-Sep-22,110001,288.17,GDS,16.82
1-Sep-22,700001,268.02,GDS,17.89
1-Sep-22,560001,240.03,GDS,17.59
1-Sep-22,600001,198.83,GDS,15.87
1-Sep-22,500001,179.13,GDS,15.26
1-Sep-22,411001,172.86,GDS,26.49
1-Sep-22,380001,131.21,GDS,17.58
1-Sep-22,302001,97.4,GDS,15.33
1-Sep-22,226001,83.74,GDS,15.86
1-Sep-22,800008,68.74,GDS,17.25
1-Sep-22,641001,60.9,GDS,14.1
1-Sep-22,160017,44.33,GDS,23.29
1-Sep-22,122001,34.48,GDS,18.42
1-Sep-22,492001,21.5,GDS,17.33
1-Jan-22,400001,286.29,Britel,25.45
1-Jan-22,110001,241.59,Britel,29.34
1-Jan-22,700001,222.19,Britel,27.85
1-Jan-22,560001,195.41,Britel,33.97
1-Jan-22,600001,166.78,Britel,31.44
1-Jan-22,500001,148.68,Britel,30.93
1-Jan-22,411001,141.3,Britel,34.31
1-Jan-22,380001,110.08,Britel,30.45
1-Jan-22,302001,79.05,Britel,18.47
1-Jan-22,226001,67.6,Britel,32.71
1-Jan-22,800008,55.78,Britel,20.17
1-Jan-22,641001,50.24,Britel,30.53
1-Jan-22,160017,36.57,Britel,32.97
1-Jan-22,122001,27.89,Britel,27.41
1-Jan-22,492001,17.55,Britel,20.31
